No.,Script_Kr,Script_En,Script_Jp,Script_Cn
0,  ,,,
1,Game Start,Game Start,,
2,Load Game,Load Game,,
3,Setting,Setting,,
4,Exit,Exit,,
5,New Game,New Game,,
6,데미안,Damian,,
7,-경고-\n\n문 너머로 위험한 기운이 느껴진다.\n들어가시겠습니까?,-Warning-\n\nA dangerous aura is felt beyond the door.\nWould you like to go in?,,
8,[ 마검 계약 ]\n계약자는 이 순간부로 마검 [에고 소드] 계약을 체결한다.\n이 계약을 통해^ 계약자는 마검의 강력한 힘을 손에 넣을 것이며^\n그 대가로 계약자의 영혼과 생명은 마검에게 귀속됨을 인정한다.\n\n◀마검의 힘▶\n계약자는 마검의 힘을 사용할 수 있는 권한을 얻는다.\n그러나 이 힘은 마검의 의지에 따라 부여되며^\n그 결과는 계약자의 책임이다.\n◀영혼의 귀속▶\n이 계약이 체결되는 순간부터^ 나의 영혼은 마검에게 속하게 되며^\n나의 존재는 마검의 영원한 동반자가 된다.\n◀힘의 대가▶\n계약자는 마검의 힘을 자유롭게 사용할 수 있으며^\n그 대가로 마물의 마력과 무기를 에고 소드에게 받친다.\n◀파기 불가▶\n계약은 육신과 영혼이 파괴되기 전까지 영원히 지속된다.\n◀서약▶\n계약자는 이 계약의 모든 내용을 숙지하였으며^\n자유의지로 서명함으로써^ 내용을 성실히 이행할 것이다.,[Demon Sword Contract]\nThe contractor enters into a contract with the Demon Sword [Ego Sword] from this moment on.\nThrough this contract^ the contractor will obtain the great power of the Demon Sword^\nIn return^ the contractor acknowledges that his soul and life will belong to the Demon Sword.,,
9,계속하기,Continue,,
10,설정,Settings,,
11,언어,Language,,
12,게임 종료,Exit Game,,
13,화면,Screen,,
14,전체 화면,Full Screen,,
15,창 모드,Window Mode,,
16,전체 창 모드,Full Window Mode,,
17,소리,Sound,,
18,전체 음량,Full Volume,,
19,배경음,Background Sound,,
20,효과음,Sound Effects,,
21,몬스터에 부딪치면 전투가 시작됩니다!,When you hit a monster^ the battle begins!,,
22,음식과 물약을 획득하면 체력이 회복 됩니다!,Get food and potions to restore your health!,,
23,열쇠와 같은 색깔의 문을 열 수 있습니다!,You can open doors of the same color as the key!,,
24,특정 기믹을 해제하여 나아가세요!,Unlock certain gimmicks to advance!,,
100,공격력,Attack Power,,
101,방어력,Defense Power,,
102,체력,Health,,
103,치명 확률,Critical Chance,,
104,치명 공격력,Critical Attack Power,,
105,레벨,Level,,
106,공격 속도,Attack Speed,,
107,방어 속도,Defense Speed,,
108,이동 속도,Movement Speed,,
109,초록 열쇠,Green Key,,
110,노랑 열쇠,Yellow Key,,
111,붉은 열쇠,Red Key,,
112,사과,Apple,,
113,고기,Meat,,
114,소형 물약,Small Potion,,
115,중형 물약,Medium Potion,,
116,대형 물약,Large Potion,,
117,축복 물약,Blessing Potion,,
118,공격 룬,Attack Rune,,
119,방어 룬,Defense Rune,,
120,체력 룬,Health Rune,,
121,초록 빛이 감도는 청동 열쇠.\n닫힌 초록색 문에 사용할 수 있을 것 같다.,A bronze key with a green glow.\nIt seems like it could be used on closed green doors.,,
122,노랑 빛이 감도는 황동 열쇠.\n닫힌 노랑색 문에 사용할 수 있을 것 같다.,A brass key with a yellow glow.\nIt seems like it could be used on closed yellow doors.,,
123,붉은 빛이 감도는 구리 열쇠.\n닫힌 붉은색 문에 사용할 수 있을 것 같다.,A copper key with a red glow.\nIt seems like it could be used on closed red doors.,,
124,빨갛게 잘 익은 사과.\n약간의 허기를 채워주어\n기운을 북돋아 주는 것 같다.\n체력회복 <color=#00FF7F><b>+20%</b></color>,A ripe red apple.\nIt seems to fill a little hunger\nand boost energy.\nRecovers stamina <color=#00FF7F><b>+20%</b></color>,,
125,두툼한 고기 조각.\n배고픔에 지친 모험가에게\n힘이 나게 해준다.\n체력회복 <color=#00FF7F><b>+30%</b></color>,A thick piece of meat.\nIt gives strength to adventurers who are exhausted from hunger.\nRecovers stamina <color=#00FF7F><b>+30%</b></color>,,
126,작은 병에 담긴 물약.\n흔한 약초를 달여 만들었지만\n빠르게 체력을 회복시켜준다..\n체력회복 <color=#00FF7F><b>+40%</b></color>,"A potion in a small bottle.\nIt is made by boiling common herbs,\nbut it quickly restores stamina..\nRecovers stamina <color=#00FF7F><b>+40%</b></color>",,
127,넉넉한 병에 담긴 물약.\n비싼 약초가 사용되어 비싸게 거래된다.\n지친 모험가도 즉시 회복시켜줄 수 있다..\n체력회복 <color=#00FF7F><b>+50%</b></color>,A potion in a generous bottle.\nIt is traded at a high price because it uses expensive herbs.\nIt can instantly restore even exhausted adventurers..\nRecovers stamina <color=#00FF7F><b>+50%</b></color>,,
128,귀한 약초로 약사가 특별하게 제조하여\n실신한 사람도 벌떡 일어나게 만든다..\n체력회복 <color=#00FF7F><b>+70%</b></color>,A rare herb that the pharmacist Specially made\nIt makes even the fainted stand up..\nRecovers stamina <color=#00FF7F><b>+70%</b></color>,,
129,신비로운 빛이 나는 물약.\n죽은 사람도 살린다는 기적의 물약으로\n제조법을 찾기 위한 약사들이 앞다퉈 연구 중이다..\n체력회복 <color=#00FF7F><b>+100%</b></color>,A potion with a mysterious glow.\nIt is a miraculous potion that can even revive the dead.\nPharmacists are racing to find the recipe..\nRecovers stamina <color=#00FF7F><b>+100%</b></color>,,
130,파괴의 힘이 담긴 마석.\n마법으로 새겨진 고대 문자가 빛나고 있다.\n내면에서 파괴의 힘이 솟아난다.,A magic stone with the power of destruction.\nAncient letters engraved with magic are shining.\nThe power of destruction rises from within.,,
131,인내의 힘이 담긴 마석.\n마법으로 새겨진 고대 문자가 빛나고 있다.\n내면에서 인내의 힘이 솟아난다.,A magic stone with the power of endurance.\nAncient letters engraved with magic are shining.\nThe power of endurance rises from within.,,
132,생명의 힘이 담긴 마석.\n마법으로 새겨진 고대 문자가 빛나고 있다.\n내면에서 생명의 힘이 솟아난다.,A magic stone with the power of life.\nAncient letters engraved with magic are shining.\nThe power of life rises from within.,,
4000,워프석 반지,Warpstone Ring,,
4001,워프석이 박힌 반지.\n워프 장치와 공명을 일으켜 워프 시스템을 활성화시킨다.,A ring with a warpstone.\nIt resonates with the warp device and activates the warp system.,,
4002,레인저 부츠,Ranger Boots,,
4003,스피리트 윈드 부츠,Spirit Wind Boots,,
4004,엔젤 윙 부츠,Angel Wing Boots,,
4005,타르타로스 부츠,Tartaros Boots,,
4006,활동성이 보장된 부츠.\n가벼운 발걸음을 선사하여 이동 속도를 증가시켜준다.,Boots with guaranteed mobility.\nIt increases movement speed by giving you a light step.,,
4007,바람의 정령이 깃든 부츠.\n바람의 마법으로 매우 가볍게 이동할 수 있다.,Boots imbued with the spirit of the wind.\nYou can move very lightly with the magic of the wind.,,
4008,천사의 날개가 달린 부츠.\n고귀한 천사의 날개가 원하는 곳으로 인도한다.,Boots with angel wings.\nThe wings of a noble angel will lead you to where you want to go.,,
4009,심연의 명계 타르타로스의 부츠.\n걷지 않아도 알아서 움직이며^ 그 속도는 차원을 달리한다.,"Boots of Tartarus, the abyssal realm.\nYou don`t have to walk to move on your own^ and the speed is on a different level.",,
4010,모래시계 목걸이,Sandglass Necklace,,
4011,에온의 고리,Aeon`s Ring,,
4012,키르케의 시계추,Circe`s Pendulum,,
4013,크로노스의 시계,Cronus`s Clock,,
4014,마법의 모래시계로 만든 목걸이.\n시간의 흐름을 이용하여 전투 시간을 앞당긴다.,A necklace made from a magic hourglass.\nUtilizes the flow of time to advance battle time.,,
4015,시간 여행자인 에온의 고리로 만든 목걸이.\n시간의 흐름을 제어하여 전투 시간을 신속하게 앞당긴다.,A necklace made from the ring of the time traveler Aeon.\nControls the flow of time to quickly advance battle time.,,
4016,마녀 키르케의 시계추로 만든 목걸이.\n시간의 흐름을 변형시켜 전투시간을 빠르게 앞당긴다.,A necklace made from the pendulum of the witch Circe.\nDistorts the flow of time to quickly advance battle time.,,
4017,시간의 신 크로노스의 시계로 만든 목걸이.\n시간의 흐름을 재구축하여 전투시간을 급격하게 앞당긴다.,"A necklace made from the clock of the god of time, Kronos.\nReconstructs the flow of time to rapidly advance battle time.",,
4018,에고소드,Ego Sword,,
4019,애페스티온,Aphestion,,
4020,발레폰트,Ballet Font,,
4021,루나리스,Lunaris,,
4022,드라코닉스,Draconix,,
4023,드라코닉스,Draconix,,
4024,엑스칼리버,Excalibur,,
4025,피닉시아,Phoenixia,,
4026,라이타니온,Raitanion,,
4027,움브라노크스,Umbranox,,
4028,라그나브레이크,Ragnar Break,,
4029,자아를 가진 마검\n검을 먹고 강해지며^ 그 힘을 이용할 수 있다.\n다만^ 계약을 통해서만 사용할 수 있는 전설의 마검.,A magical sword with an ego\nEat the sword to become stronger^ and use its power.\nHowever^ A legendary magical sword that can only be used through a contract.,,
4030,기도의 검\n신성한 임무를 수행하기 위해 고대 사제가 제작한 검으로^\n사용자에게 기본적인 보호와 축복을 내린다.,Sword of Prayer\nA sword made by an ancient priest to perform a sacred mission^\nIt grants the user basic protection and blessings.,,
4031,영웅의 검\n100년 전^ 마을을 괴롭히던 괴물을 무찌르고\n그 영웅의 이름을 따서 불리게 되었다.,Sword of Hero\n100 years ago^ It was named after the hero who defeated the monster that was plaguing the village.,,
4032,달의 검\n달의 여신이 마물을 물리치기 위해^\n달빛이 깃든 은으로 만든 성스러운 검이다.,Sword of the Moon\nA sacred sword made of silver imbued with moonlight by the goddess of the moon to defeat the monsters.,,
4033,용의 검\n고대의 용의 이빨로 만들어져^ 용의 불꽃을\n내뿜을 수 있는 전설적인 용 사냥꾼의 무기이다.,"Dragon Sword\nMade from the teeth of an ancient dragon,^ a legendary dragon hunter`s weapon that can breathe dragon flames\n.",,
4034,마법의 검\n정체불명의 마법이 깃든 보석이 박혀 있어^\n사용자의 능력을 증폭시키는 강력한 마법 검이다.,Magic Sword\nA powerful magical sword with a jewel imbued with an unknown magic\nthat amplifies the user`s abilities.,,
4035,빛의 검\n빛의 수호자에 의해 만들어져 어둠의 존재들을\n물리치고 정의를 수호하는 힘을 지녔다.,Light Sword\nMade by the Guardian of Light^ it has the power to defeat dark beings\nand protect justice.,,
4036,부활의 검\n불사조의 깃털로 만들어져^ 사용자가 쓰러져도\n불꽃 속에서 다시 일어날 수 있는 부활의 힘을 지닌다.,Resurrection Sword\nMade from the feathers of the phoenix^ it has the power of resurrection that allows the user to rise again in flames even if they fall.,,
4037,천둥의 검\n천둥신이 내린 벼락으로 단련한 검으로^\n적에게 치명적인 번개의 힘을 가할 수 있다.,Thunder Sword\nA sword forged from the thunderbolts of the god of thunder^ it can inflict deadly lightning power on enemies.,,
4038,저주의 검\n어둠의 심연에서 나온 재료로 만들어져^\n적의 생명력을 흡수하여 사용자를 치유하는 능력을 지녔다.,Curse Sword\nMade from materials from the abyss of darkness^ it has the ability to absorb the life force of enemies and heal the user.,,
4039,절대자의 검\n신들의 전쟁에서 사용된 전설의 검으로^ 그 힘은\n세계를 재구성할 수 있을 정도로 강력하며 다양한 능력을 가지고 있다.,"Absolute Sword\nA legendary sword used in the war of the gods^ its power\nis powerful enough to reconstruct the world, and it has various abilities.",,
4040,헌터 실드,Hunter Shield,,
4041,오크나이트 실드,Orc Knight Shield,,
4042,아이언 월,Iron Wall,,
4043,에메랄드 실드,Emerald Shield,,
4044,미스릴 실드,Mithril Shield,,
4045,그리폰 실드,Griffon Shield,,
4046,가디언 실드,Guardian Shield,,
4047,트리톤 실드,Triton Shield,,
4048,쉐도우 실드,Shadow Shield,,
4049,엘드리치 실드,Eldritch Shield,,
4050,야수를 사냥하는 헌터들이 주로 사용하던 방패.\n작고 가벼워 적의 간단한 공격은 막을 수 있다.,A shield mainly used by hunters who hunt wild beasts.\nIt is small and light^ so it can block simple attacks from enemies.,,
4051,오크 전사가 사용하던 방패.\n만듦새는 투박하지만 방어 능력은 보장한다.,A shield used by orc warriors.\nIt is made roughly^ but its defensive capabilities are guaranteed.,,
4052,거대한 철의 벽처럼 단단한 방패.\n어떠한 공격도 막아내며 소유자의 방어력을 극대화한다.,A shield as solid as a giant iron wall.\nIt blocks any attack and maximizes the owner`s defensive capabilities.,,
4053,숲의 정령들의 기운을 머금은 방패.\n자연의 힘으로 상처를 치유하고 보호하는 효과가 있다.,A shield imbued with the energy of forest spirits.\nIt has the effect of healing and protecting wounds with the power of nature.,,
4054,드워프가 신비한 광석^ 미스릴로 만든 방패.\n매우 가벼우면서도 뛰어난 방어력을 자랑한다.,A shield made by dwarves from the mysterious ore^ Mithril.\nIt is very light^ but boasts excellent defensive capabilities.,,
4055,신성한 그리폰의 날개와 갈퀴로 장식된 방패.\n하늘과 땅을 아우르는 기동성과 보호력을 가지고 있다.,A shield decorated with the wings and claws of a sacred griffon.\nIt has mobility and protection that encompasses the sky and the ground.,,
4056,고대 가디언이 사용했던 방패.\n주인에 대한 절대적인 수호를 약속한다.,A shield used by ancient guardians.\nIt promises absolute protection for its owner.,,
4057,바다의 신 트리톤이 사용하던 방패.\n물과 바다의 힘을 가지고 있으며. 신의 가호로 보호한다.,A shield used by Triton^ the god of the sea.\nIt has the power of water and the sea^ and protects with the protection of the god.,,
4058,어둠을 재료로 만들었다는 믿기 힘든 방패.\n소유자는 그림자 속에서 은밀하게 움직일 수 있다고 전해진다.,An incredible shield made of darkness.\nIt is said that the owner can move stealthily in the shadows.,,
4059,언데드 마법사 엘드리치의 힘이 깃든 방패.\n강대한 마력이 휘몰아치고 있어 그에 걸맞은 자가 아니면 사용할 수 없다.,A shield imbued with the power of the undead wizard Eldritch.\nA powerful magical power swirls around^ so only those who are worthy can use it.,,
5000,마물의 숲,Forest of Demons,,
5001,마물의 숲 안쪽,Inside the Forest of Demons,,
5002,잊혀진 숲,Forgotten Forest,,
5003,숲의 유적,Ruins of the Forest,,
5004,가브 마을,Gab Village,,
10000,라임 슬라임,Lime Slime,,
10001,망고 슬라임,Mango Slime,,
10002,크로우,Crow,,
10003,숲의 정령,Forest Spirit,,
10004,야생 늑대,Wild Wolf,,
10005,킹 슬라임,King Slime,,
10006,둔기 슬라임,Blunt Slime,,
10007,단검 슬라임,Dagger Slime,,
10008,방패 슬라임,Shield Slime,,
20000,밝고 투명한 녹색을 띠는 슬라임.\n주로 숲 근처에 서식하며^ 상쾌한 라임 향기를 내뿜는다.\n공격 받을 때마다 주변 공기를 상쾌하게 만들지만^\n동시에 끈적한 산성 액체를 뿌려 적을 공격한다.,"A slime with a bright^ transparent green color.\nIt mainly lives near forests^ and exudes a refreshing lime scent.\nWhen attacked, it refreshes the surrounding air^ but at the same time^ it sprays a sticky^ acidic liquid to attack enemies.",,
20001,노란 망고 향을 풍기는 슬라임.\n주로 망고 나무 아래에서 발견되며^ 익은 망고를 먹으며 자란다.\n몸체에서 떨어진 액체는 영양분이 높아^ 주변 식물이 빠르게 자란다.\n적을 달콤한 향기로 유인한 뒤^ 끈적한 점액으로 공격한다.,A slime that smells like yellow mango.\nIt is usually found under mango trees^ and grows by eating ripe mangoes.\nThe liquid that drips from its body is highly nutritious^ and causes nearby plants to grow quickly.\nIt lures enemies with its sweet scent^ and then attacks them with sticky mucus.,,
20002,지능이 높고 숲속에 서식하는 변종 까마귀.\n불길한 징조를 알리는 존재로 여겨지며^ 검은 깃털과 붉은 눈이 특징.\n어둠 속에서 적의 시야를 차단하고^ 그들의 약점을 찾아내 공격하는 데 능숙하다.,A highly intelligent mutant crow that lives in the forest.\nConsidered to be a being that announces ominous omens^ it is characterized by its black feathers and red eyes.\nIt is adept at blocking the vision of enemies in the dark^ and finding and attacking their weak points.,,
20003,숲의 생명을 지키는 신비로운 존재.\n초록색 빛을 띠며 나무와 동화된 모습을 하다.\n이들은 숲의 균형을 유지하고^ 외부 침입자로부터 숲을 보호한다.\n자연의 힘을 빌려 보호 마법을 사용할 수 있으며^ 숲속 생명체들과 교감한다.,Mysterious beings that protect the life of the forest.\nThey have a green glow and look like they are one with the trees.\nThey maintain the balance of the forest^ and protect it from outside invaders.\nThey can use protective magic by borrowing the power of nature^ and communicate with the creatures of the forest.,,
20004,무리를 지어 다니며^ 민첩성을 지닌 변종 늑대.\n그들의 털은 숲속에서 뛰어난 위장을 제공하며^ 날카로운 이빨과 발톱으로 무장하고 있다.\n지능도 높아^ 사냥할 때 전략을 사용하며^ 위험을 감지하면 빠르게 도망치기도 한다.,"A mutant wolf that moves in packs and is agile.\nTheir fur provides excellent camouflage in the forest,^ and they are armed with sharp teeth and claws.\nThey are also highly intelligent,^ so they use strategy when hunting,^ and quickly run away when they sense danger.",,
20005,거대한 크기와 왕관을 쓴 모습이 특징인 슬라임.\n여러 종류의 슬라임을 통솔하며^ 그들의 힘을 합쳐 거대한 형태로 변할 수 있다.\n킹 슬라임의 체내에는 다양한 원소가 섞여 있어^ 공격 시 강력한 화학 반응을 일으킨다.\n진정한 힘은 평소에는 숨겨져 있지만^ 위기에 처하면 모든 슬라임의 힘을 한데 모아 압도적인 힘을 발휘한다.,"A slime characterized by its gigantic size and crowned appearance.\nIt commands several types of slimes^ and can combine their powers to transform into a gigantic form.\nKing Slime`s body contains a mixture of various elements^ which causes powerful chemical reactions when attacking.\nIts true power is usually hidden^, but when in danger, it gathers the power of all the slimes together and displays overwhelming power.",,
20006,킹 슬라임에 분열되어 둔기 무기를 품은 슬라임.\n강력한 공격을 하지만 둔해보인다.,A slime split from King Slime and wielding a blunt weapon.\nIt has powerful attacks but appears dull.,,
20007,킹 슬라임에 분열되어 단검 무기를 품은 슬라임.\n재빠른 공격을 하지만 약해보인다.\n뭔가 반짝이는 게 들어있는 것 같은데?,"A slime split from the King Slime and wielding a dagger weapon.\nIt attacks quickly, but seems weak.\nIs there something shiny inside?",,
20008,킹 슬라임에 분열되어 방패 무기를 품은 슬라임.\n튼튼한 방어를 하지만 느려보인다.,"A slime that is divided into King Slime and holds a shield weapon.\nIt has a strong defense, but appears slow.",,
30000,비스트,Beast,,
30001,매지션,Magician,,
30002,가디언,Guardian,,
30003,언데드,Undead,,
30004,워리어,Warrior,,
30005,자이언트,Giant,,
30006,어쌔신,Assassin,,
30007,아머,Armor,,
30008,야수와 같은 특성,Beast-like traits,,
30009,마법과 같은 특성,Magic-like traits,,
30010,수호자 같은 특성,Guardian-like traits,,
30011,불사와 같은 특성,Immortal-like traits,,
30012,전사와 같은 특성,Warrior-like traits,,
30013,거인과 같은 특성,Giant-like traits,,
30014,암살자 같은 특성,Assassin-like traits,,
30015,철벽과 같은 특성,Iron Wall-like traits,,
900000,평범한 오후..\n길드 게시판 앞,An ordinary afternoon..\nIn front of the guild bulletin board,,
900001,소란스러운 내부와 다르게 조용히 의뢰 게시판을 살펴보고있는 모험가..\n그에게 오래된 퀘스트 하나가 눈에 들어왔다.,Unlike the noisy interior^ an adventurer quietly looked at the request bulletin board..\nAn old quest caught his eye.,,
900002,흠...\n[ 가브 마을에 떨어진 타워 조사 의뢰 ],Hmm...\n[Request to investigate the tower that fell in Gabu Village],,
900003,소문에 의하면.. 하늘에서 거대한 타워가 떨어졌고\n이후 많은 모험가들이 찾아갔으나 밝혀진 게 없음.,According to rumors.. a huge tower fell from the sky\nAfter that^ many adventurers went to find it^ but nothing was revealed.,,
900004,지금은 마물이 들끓는 저주받은 마을로 취급.\n왕국에서 타워에 비밀을 찾아오는 자에게 하사품을 지급한다.,It is now treated as a cursed village overrun by monsters.\nThe kingdom gives a gift to those who find the secrets of the tower.,,
900005,..... 찌익\n마음을 굳힌 듯 외뢰서를 품에 넣은 모험가는 문을 나섰다.,..... Squeak\nThe adventurer^ who seemed to have made up his mind^ put the request in his bosom and went out the door.,,
900006,큭.. 마물냄새가\n전투를 피할 순 없겠어,Huh.. The smell of monsters\nI can`t avoid battle,,
100011,뭐야?!,What?!,,
100012,넌 뭐야?,What are you?,,
100013,말하는 검이라니..\n너 마물이냐?,A talking sword...\nAre you a monster?,,
100014,뭐? 마물 따위랑 비교하지마!\n너 평범한 모험가로 보이는데..\n에고소드라고 들어봤어?,What? Don`t compare me to monsters!\nYou look like an ordinary adventurer...\nHave you heard of an Ego Sword?,,
100015,에고..소드?!\n자아가 있는 검이라고 들어본적이..\n너! 설마 마검이야?,Ego... Sword?!\nHave you ever heard of a sword with a sense of self...\nYou! Are you a demon sword?,,
100016,이제야 알아보는군\n이몸은 에고소드\n너희가 말하는 마검이다!,Now you see\nThis body is an Ego Sword\nThe demon sword you`re talking about!,,
100017,....\n그래 알았어,"....\nOkay, I get it.",,
100018,자.. 잠깐!\n그냥 가려는거야?!,Wait a minute!\nYou`re just going to leave?!,,
100019,내가 비록 허접 모험가라도\n마력이 느껴지지 않는 마검?\n그 말을 믿으라는거야?,"Even though I`m a sloppy adventurer,\nA magic sword that doesn`t feel magic?\nYou want me to believe that?",,
100020,지금 내 모습을 봐라!\n방치된 게 언제였는지 기억도 나질 않아..\n그리고 망할 마물들이 내 마력을 갉아버렸다고!,Look at me right now!\nI can`t even remember when I was abandoned..\nAnd those damn monsters ate away my magic!,,
100021,( 마을 주변에 마물들이 늘어난게.. 그 이유인가? ),(Is that why there are more monsters around the village?),,
100022,허접 모험가? 듣고 있는거야?,Sloppy adventurer? Are you listening?,,
100023,그래 꽤나 재미있는 이야기였어\n하지만 나는 바쁜 몸이야\n마력 없는 마검은 짐만 될 뿐이라고,Yeah^ that was a pretty interesting story\nBut I`m busy\nA magic sword without magic is just a burden.,,
100024,흥! 아직도 못믿는 눈치군\n그럼 더 재미있는 이야기를 해주지!\n마검은 계약을 맺어야 힘을 발휘할 수 있어,Huh! You still don`t believe me\nThen let me tell you a more interesting story!\nA magic sword can only be effective if you make a contract.,,
100025,계약?!,A contract?!,,
100026,그렇다. 모험가.. 나를 만난건 행운이야\n나와 계약하자! 강력한 힘을 약속하지!\n그리고 나도 이제 이곳은 지긋지긋해,Yes. Adventurer.. It`s lucky to meet me.\nMake a contract with me! I promise great power!\nAnd I`m sick of this place now.,,
100027,내가 갈 곳은 폐허가된 마을이야\n미지의 탑이 그곳에 저주를 내렸어\n사실 호기심이였지만 지금은..돌이킬 수 없겠는걸?,"The place I`m going to is a ruined village.\nAn unknown tower has put a curse on it.\nI was curious, but now..there`s no turning back?",,
100028,크하핫! 마물이 득실 거리는 탑이라니?\n당장 가자!,Hahaha! A tower full of monsters?\nLet`s go right now!,,
100029,슬라임이 3마리로 늘어났어!,The slimes have increased to 3!,,
100030,젠장.. 체력이 버텨기 힘든데,Damn... I can`t hold out,,
100031,침착해! 방법이 있을꺼야,Calm down! There must be a way.,,
